id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-1284653231,Annual report for year ended ...,,A.G.P.S.,https://nla.gov.au/nla.obj-1284653231,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-for-year-ended-nla.obj-1284653231.zip,13,0197-01-01,1979-06-30,1967,1979,v.  ; 26 cm.,Australia,,https://nla.gov.au/nla.cat-vn546514
nla.obj-53818904,Annual report of the Aborigines Welfare Board for the year ended ...,,Govt. Printer,https://nla.gov.au/nla.obj-53818904,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-aborigines-welfare-board-for--nla.obj-53818904.zip,1,0194-01-01,1945-07-01,1945,1945,v. ; 34 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn1264335
nla.obj-21142975,Annual report of the Aborigines' Friends' Association.,,Shawyer and Bowen,https://nla.gov.au/nla.obj-21142975,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-aborigines-friends-associatio-nla.obj-21142975.zip,1,1871-01-01,1877-01-01,1877,1877,"81 v. : ill., ports ; 18-32 cm.",,,https://nla.gov.au/nla.cat-vn1968143
nla.obj-396851971,Annual report of the Acclimatisation Society of Victoria : with the addresses delivered at the annual meeting of the Society...,,The Society,https://nla.gov.au/nla.obj-396851971,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-acclimatisation-society-of-vi-nla.obj-396851971.zip,1,1862-01-01,1862-01-01,1862,1862,volumes ; 21 cm.,Victoria,1834-7614,https://nla.gov.au/nla.cat-vn2902209
nla.obj-359568510,Annual report of the Association for the Protection of Native Races presented at the ... annual meeting held on ...,,[The Association].,https://nla.gov.au/nla.obj-359568510,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-association-for-the-protectio-nla.obj-359568510.zip,1,0019-01-01,1934-01-01,1934,1934,v.,Australia,,https://nla.gov.au/nla.cat-vn2862295
nla.obj-53949936,Annual report of the Commissioner of Native Affairs for the year ended 30th June ...,,Government Printer.,https://nla.gov.au/nla.obj-53949936,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-commissioner-of-native-affair-nla.obj-53949936.zip,2,1937-01-01,1938-01-01,1937,1938,v. : maps ; 33 cm.,Western Australia,,https://nla.gov.au/nla.cat-vn1636193
nla.obj-53860149,Annual report of the Commissioner of Native Welfare.,,Department of Native Welfare.,https://nla.gov.au/nla.obj-53860149,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-commissioner-of-native-welfar-nla.obj-53860149.zip,14,1955-01-01,1972-01-01,1955,1972,v : illus. ; 33 cm.,Western Australia,0510-1980,https://nla.gov.au/nla.cat-vn1580220
nla.obj-3161663998,Annual report of the Committee of the British Ladies' Society for Promoting the Reformation of Female Prisoners.,,British Ladies' Society for Promoting the Reformation of Female Prisoners,https://nla.gov.au/nla.obj-3161663998,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-committee-of-the-british-ladi-nla.obj-3161663998.zip,1,0018-01-01,1842-01-01,1842,1842,volumes ; 22 cm.,,,https://nla.gov.au/nla.cat-vn2077870
nla.obj-2976852454,Annual report of the Committee of the School of Industry.,,National Library of Australia,https://nla.gov.au/nla.obj-2976852454,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-committee-of-the-school-of-in-nla.obj-2976852454.zip,1,1827-01-01,1827-01-01,1827,1827,online resource,New South Wales,,https://nla.gov.au/nla.cat-vn8560599
nla.obj-2976852549,Annual report of the Female School of Industry.,,"Govt. printer, Howe",https://nla.gov.au/nla.obj-2976852549,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-of-the-female-school-of-industry-nla.obj-2976852549.zip,44,1828-01-01,1926-06-01,1828,1926,v. ; 21 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn8560309
